Time,Left Leg (kg),Right Leg (kg),Total (kg),Status,Affected Muscle
25/03/2026 10:00:00,50.29,47.12,97.41,Imbalance,Right Peroneus Longus
25/03/2026 10:00:30,50.97,56.67,107.64,Imbalance,Left Tibialis Anterior
25/03/2026 10:01:00,72.98,65.82,138.8,Imbalance,Right Gastrocnemius
25/03/2026 10:01:30,84.54,87.77,172.31,Imbalance,Left Tibialis Anterior
25/03/2026 10:02:00,86.78,87.07,173.85,Balanced,Balanced
25/03/2026 10:02:30,32.3,56.86,89.16,Imbalance,Left Tensor Fasciae Latae
25/03/2026 10:03:00,52.32,30.0,82.32,Imbalance,Right Gluteus Maximus
25/03/2026 10:03:30,74.37,68.78,143.15,Imbalance,Right Tibialis Anterior
25/03/2026 10:04:00,70.08,68.61,138.69,Balanced,Balanced
25/03/2026 10:04:30,74.62,90.47,165.09,Imbalance,Left Sartorius
25/03/2026 10:05:00,47.18,30.0,77.18,Imbalance,Right Gluteus Maximus
25/03/2026 10:05:30,78.26,77.03,155.29,Balanced,Balanced
25/03/2026 10:06:00,34.85,30.0,64.85,Imbalance,Right Gluteus Medius
25/03/2026 10:06:30,44.36,50.0,94.36,Imbalance,Left Peroneus Longus
25/03/2026 10:07:00,67.28,63.34,130.62,Imbalance,Right Peroneus Longus
25/03/2026 10:07:30,82.27,71.5,153.77,Imbalance,Right Sartorius
25/03/2026 10:08:00,69.38,72.5,141.88,Imbalance,Left Tibialis Anterior
25/03/2026 10:08:30,51.3,55.79,107.09,Imbalance,Left Tibialis Anterior
25/03/2026 10:09:00,67.4,62.5,129.9,Imbalance,Right Gastrocnemius
25/03/2026 10:09:30,77.1,78.37,155.47,Balanced,Balanced
25/03/2026 10:10:00,45.4,44.46,89.86,Balanced,Balanced
25/03/2026 10:10:30,30.44,30.62,61.06,Balanced,Balanced
25/03/2026 10:11:00,43.93,43.2,87.13,Balanced,Balanced
25/03/2026 10:11:30,85.22,85.98,171.2,Balanced,Balanced
25/03/2026 10:12:00,78.38,67.28,145.66,Imbalance,Right Rectus Femoris
25/03/2026 10:12:30,63.24,74.52,137.76,Imbalance,Left Vastus Lateralis
25/03/2026 10:13:00,31.87,53.86,85.73,Imbalance,Left Tensor Fasciae Latae
25/03/2026 10:13:30,49.29,56.94,106.23,Imbalance,Left Rectus Femoris
25/03/2026 10:14:00,78.39,69.16,147.55,Imbalance,Right Peroneus Longus
25/03/2026 10:14:30,50.11,44.33,94.44,Imbalance,Right Gastrocnemius
25/03/2026 10:15:00,55.85,54.92,110.77,Balanced,Balanced
25/03/2026 10:15:30,62.47,55.02,117.49,Imbalance,Right Soleus
25/03/2026 10:16:00,75.31,60.73,136.04,Imbalance,Right Sartorius
25/03/2026 10:16:30,57.78,58.64,116.42,Balanced,Balanced
25/03/2026 10:17:00,38.03,46.64,84.67,Imbalance,Left Rectus Femoris
25/03/2026 10:17:30,43.28,66.23,109.51,Imbalance,Left Gluteus Maximus
25/03/2026 10:18:00,41.24,59.32,100.56,Imbalance,Left Semimembranosus
25/03/2026 10:18:30,76.62,55.79,132.41,Imbalance,Right Adductor Longus
25/03/2026 10:19:00,68.46,55.71,124.17,Imbalance,Right Rectus Femoris
25/03/2026 10:19:30,39.77,38.13,77.9,Balanced,Balanced
25/03/2026 10:20:00,61.13,76.56,137.69,Imbalance,Left Vastus Medialis
25/03/2026 10:20:30,78.21,95.0,173.21,Imbalance,Left Semimembranosus
25/03/2026 10:21:00,32.31,30.0,62.31,Imbalance,Right Gluteus Minimus
